id,name,Capacity,Access,Bicycle_parking,Covered,nodeId,latitude,longitude,iconUrl
cycleparking-w1068951627,Un-named place of interest,20,private,shed,yes,0,53.78851,-1.50481,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1068951628,Un-named place of interest,20,private,shed,yes,0,53.78849,-1.50471,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n358988553,Un-named bicycle_parking,,designated,,,358988553,53.78671,-1.76159,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w856930823,Un-named place of interest,4,yes,lockers,,0,53.87594,-1.71517,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w856930824,Un-named place of interest,5,,stands,yes,0,53.87577,-1.71491,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w856930822,Un-named place of interest,5,yes,lockers,no,0,53.87606,-1.71496,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w896021120,Un-named place of interest,4,customers,lockers,yes,0,53.84746,-1.63026,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w899166090,Un-named place of interest,,,stands,yes,0,53.83163,-1.64051,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n415511123,Un-named bicycle_parking,,,,,415511123,53.86732,-1.90946,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n423818285,Un-named bicycle_parking,,,,,423818285,53.83531,-1.73037,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n415511040,Un-named bicycle_parking,,,,,415511040,53.86587,-1.90775,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-n413990431,Un-named bicycle_parking,6,,stands,no,413990431,53.86598,-1.90628,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w1052322829,Un-named place of interest,12,yes,stands,no,0,53.8134,-1.60297,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w947513281,Un-named place of interest,,,shed,yes,0,53.81575,-1.60809,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
cycleparking-w869781653,Un-named place of interest,,,shed,,0,53.81558,-1.5821,https://www.cyclestreets.net/images/pois/iconsets/osm/transport_parking_bicycle.n.16.png
